x0,y0,x1,y1,score,label
26492,1978,26525,2036,0.6528,2
26601,2364,26626,2386,0.2393,1
26814,2005,26846,2030,0.4927,1
26387,2090,26432,2128,0.5811,2
26499,2098,26519,2123,0.6714,2
26643,2289,26661,2310,0.3542,3
26518,2093,26548,2129,0.6426,2
26521,2289,26556,2333,0.5552,1
26602,2408,26634,2448,0.6826,1
26726,2111,26747,2148,0.6372,2
26693,2022,26725,2056,0.5928,1
26574,2329,26600,2357,0.365,1
26663,2335,26692,2356,0.5195,2
26764,2196,26790,2236,0.4463,2
26548,2369,26574,2394,0.6665,2
26786,2083,26803,2100,0.3523,3
26465,1960,26482,1982,0.5083,3
26720,1959,26759,1988,0.3975,2
26504,2279,26524,2297,0.2703,3
26551,2182,26574,2215,0.6289,2
26854,2137,26882,2163,0.4548,2
26702,2051,26737,2098,0.4502,1
26408,2306,26428,2336,0.3645,2
26537,2044,26555,2067,0.2661,1
26772,2145,26789,2166,0.3108,3
26784,2153,26803,2180,0.2072,3
26660,2224,26675,2247,0.4045,2
26764,1949,26790,1983,0.3098,1
26850,2100,26876,2138,0.4553,2
26840,2158,26894,2185,0.5015,2
26792,1972,26815,1990,0.2725,2
26580,2019,26604,2046,0.252,2
26708,2158,26720,2172,0.2644,3
26486,2044,26521,2076,0.4021,2
26588,2421,26616,2453,0.3198,1
26874,2324,26890,2340,0.281,2
26579,2090,26602,2109,0.3093,2
26433,2086,26457,2135,0.2793,2
26742,1972,26764,1988,0.1589,1
26698,2052,26731,2078,0.1586,1
26708,2076,26731,2101,0.1984,-100
26696,2038,26731,2068,0.1666,-100
26787,2147,26804,2172,0.1564,-100
27009,2182,27055,2234,0.5952,2
27008,2070,27078,2103,0.8223,2
27011,2402,27046,2468,0.8179,2
27376,2077,27406,2109,0.7271,2
27306,2348,27337,2380,0.6831,2
27224,2332,27258,2364,0.7007,2
27177,2438,27218,2470,0.5454,2
27063,2225,27084,2250,0.3838,2
27174,2065,27204,2090,0.3391,1
26937,2390,26965,2417,0.3235,2
27362,2404,27399,2430,0.7314,2
27178,2182,27230,2223,0.5483,2
26968,2184,27005,2230,0.4702,2
26961,1953,27008,1991,0.6929,1
26941,2024,26978,2056,0.6592,2
27317,2234,27346,2262,0.6523,2
27348,2018,27370,2048,0.5112,2
26914,2390,26937,2429,0.7446,2
27239,2097,27276,2124,0.5566,2
26957,2297,26985,2326,0.2991,2
27340,1977,27366,2012,0.3799,1
27346,2110,27384,2132,0.437,2
26959,1997,26998,2037,0.6523,1
27204,2282,27230,2303,0.3113,1
26968,2074,27001,2103,0.6914,2
27067,2198,27090,2219,0.3245,2
26916,2346,26933,2382,0.6489,2
27329,2126,27346,2144,0.5654,3
27172,2090,27199,2115,0.3364,2
26977,2254,27008,2288,0.4417,1
27300,2033,27326,2062,0.4502,1
27306,2006,27321,2021,0.6357,3
27122,2116,27140,2139,0.4463,2
27226,2296,27264,2317,0.5703,2
27270,2161,27289,2182,0.5059,2
27346,2198,27374,2219,0.6401,2
27314,2102,27344,2125,0.6704,2
27158,2225,27187,2257,0.2659,1
27198,2330,27226,2357,0.6074,2
27173,2392,27199,2416,0.3608,2
27048,1958,27082,1985,0.6313,2
27238,2197,27261,2226,0.4221,1
27056,2272,27085,2312,0.6069,2
27373,2030,27397,2047,0.3064,2
27022,2250,27040,2286,0.6455,2
27291,2076,27320,2108,0.4819,2
27376,1948,27396,1984,0.3381,2
27264,2454,27287,2484,0.4431,2
27316,2278,27352,2303,0.4773,2
27118,2346,27154,2372,0.4277,1
27025,1975,27059,1997,0.5571,2
27122,2452,27142,2478,0.5132,2
26931,2282,26949,2315,0.54,2
27174,2115,27200,2138,0.3528,2
27377,2234,27399,2254,0.4497,2
26943,2079,26970,2100,0.4302,2
27180,2028,27231,2053,0.5469,2
27366,2180,27382,2207,0.5024,2
27160,2268,27187,2302,0.2991,2
27362,2316,27390,2334,0.1965,2
27360,2320,27396,2360,0.2407,2
27100,2424,27129,2445,0.4021,2
27192,2384,27220,2407,0.3701,2
26898,2148,26913,2168,0.4312,2
27201,2259,27218,2276,0.1798,1
27106,2348,27131,2374,0.1954,1
27176,2253,27204,2277,0.2292,1
27239,2248,27254,2262,0.3025,2
27351,2230,27374,2258,0.3569,2
27172,1973,27182,1986,0.1715,2
27117,2386,27149,2407,0.2581,2
27073,2258,27112,2276,0.2896,2
27323,2150,27352,2172,0.3225,2
27196,2395,27215,2416,0.2281,2
